country;1900;1910;1920;1930;1940;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Bolivia;1.826;1.994;2.334;2.625;2.945;NaN;3.09;3.14;3.193;3.248;3.306;3.365;3.427;3.491;3.556;3.624;3.693;3.765;3.838;3.913;3.991;4.071;4.153;4.237;4.324;4.414;4.506;4.601;4.698;4.799;4.902;5.009;5.12;5.234;5.35;5.469;5.59;5.712;5.835;5.96;6.085;6.212;6.338;6.465;6.593;6.723;6.856;6.993;7.132;7.274;7.419;7.567;7.717;7.871;8.026;8.183;8.34;8.496;8.653;8.81;8.968;9.125;9.283;9.441;9.6;9.759;9.918;10.078;10.239;10.4;10.562;10.725
Brazil;18.103;22.414;27.661;33.889;41.545;NaN;53.975;55.606;57.305;59.053;60.839;62.656;64.507;66.4;68.351;70.377;72.494;74.707;77.008;79.368;81.752;84.13;86.495;88.854;91.213;93.586;95.982;98.402;100.844;103.321;105.846;108.431;111.076;113.776;116.532;119.341;122.2;125.107;128.055;131.014;133.951;136.836;139.665;142.437;145.15;147.802;150.393;152.917;155.379;157.812;160.261;162.755;165.303;167.894;170.516;173.153;175.786;178.419;181.046;183.627;186.116;188.479;190.698;192.785;194.77;196.701;198.614;200.518;202.402;204.259;206.078;207.848
Burkina Faso;2.978;3.201;3.442;3.702;3.981;NaN;4.284;4.324;4.367;4.413;4.463;4.517;4.575;4.636;4.699;4.764;4.829;4.895;4.96;5.028;5.099;5.175;5.256;5.343;5.434;5.528;5.625;5.723;5.825;5.93;6.04;6.155;6.274;6.399;6.531;6.672;6.823;6.985;7.158;7.341;7.531;7.728;7.931;8.14;8.356;8.58;8.811;9.05;9.297;9.552;9.817;10.09;10.373;10.666;10.969;11.283;11.608;11.944;12.291;12.652;13.028;13.422;13.834;14.264;14.709;15.166;15.632;16.107;16.591;17.085;17.589;18.106
Burundi;1.589;1.7;1.824;1.97;2.129;NaN;2.309;2.359;2.404;2.446;2.488;2.532;2.578;2.628;2.68;2.733;2.787;2.84;2.895;2.951;3.012;3.079;3.154;3.235;3.317;3.393;3.457;3.508;3.547;3.583;3.624;3.677;3.745;3.825;3.918;4.019;4.127;4.24;4.359;4.487;4.625;4.774;4.936;5.109;5.284;5.454;5.613;5.759;5.895;6.02;6.134;6.239;6.333;6.42;6.512;6.624;6.767;6.947;7.16;7.401;7.662;7.934;8.218;8.515;8.822;9.138;9.461;9.79;10.125;10.466;10.817;11.179
Cambodia;2.859;3.052;3.326;3.654;4.014;NaN;4.433;4.54;4.659;4.785;4.914;5.045;5.176;5.308;5.441;5.579;5.722;5.872;6.027;6.181;6.329;6.467;6.589;6.695;6.796;6.902;7.022;7.168;7.331;7.478;7.562;7.552;7.432;7.222;6.983;6.795;6.718;6.775;6.945;7.196;7.475;7.743;7.99;8.228;8.467;8.724;9.009;9.324;9.659;10.007;10.355;10.694;11.022;11.339;11.642;11.928;12.198;12.449;12.682;12.901;13.112;13.32;13.525;13.729;13.934;14.144;14.364;14.593;14.832;15.079;15.328;15.578
Cameroon;2.361;2.433;2.506;2.926;3.558;NaN;4.466;4.544;4.623;4.705;4.788;4.874;4.963;5.055;5.152;5.254;5.361;5.475;5.594;5.719;5.85;5.988;6.131;6.281;6.437;6.6;6.771;6.949;7.134;7.328;7.53;7.74;7.96;8.188;8.426;8.674;8.932;9.201;9.481;9.771;10.071;10.381;10.701;11.032;11.37;11.717;12.07;12.43;12.797;13.169;13.547;13.93;14.317;14.71;15.109;15.514;15.928;16.349;16.779;17.219;17.668;18.127;18.597;19.078;19.57;20.075;20.591;21.119;21.659;22.211;22.773;23.344
Canada;5.531;7.181;8.764;10.451;11.656;NaN;13.737;14.1;14.481;14.882;15.3;15.734;16.177;16.625;17.068;17.499;17.909;18.296;18.66;19.007;19.349;19.694;20.041;20.389;20.739;21.089;21.439;21.79;22.142;22.489;22.823;23.141;23.44;23.724;23.995;24.258;24.516;24.769;25.018;25.273;25.547;25.848;26.181;26.542;26.919;27.297;27.662;28.014;28.354;28.681;28.996;29.299;29.591;29.871;30.145;30.42;30.702;30.991;31.289;31.597;31.919;32.256;32.611;32.982;33.363;33.747;34.126;34.5;34.868;35.231;35.588;35.94
Chad;1.471;1.479;1.484;1.484;1.727;NaN;2.502;2.544;2.589;2.637;2.686;2.736;2.787;2.839;2.892;2.946;3.003;3.061;3.122;3.185;3.248;3.311;3.374;3.436;3.501;3.57;3.645;3.727;3.816;3.909;4.001;4.089;4.173;4.255;4.336;4.421;4.513;4.611;4.716;4.83;4.955;5.093;5.244;5.409;5.586;5.769;5.958;6.151;6.35;6.557;6.773;7.002;7.242;7.494;7.76;8.043;8.343;8.664;9.002;9.354;9.71;10.068;10.424;10.78;11.14;11.511;11.896;12.299;12.715;13.146;13.587;14.037
Chile;2.981;3.348;3.76;4.309;5.108;NaN;6.143;6.278;6.418;6.561;6.709;6.862;7.02;7.183;7.35;7.521;7.696;7.874;8.054;8.238;8.424;8.612;8.803;8.995;9.188;9.377;9.562;9.742;9.917;10.087;10.255;10.421;10.584;10.746;10.908;11.07;11.234;11.4;11.569;11.742;11.921;12.109;12.304;12.507;12.717;12.928;13.141;13.354;13.567;13.779;13.988;14.194;14.396;14.594;14.789;14.98;15.17;15.358;15.545;15.729;15.913;16.097;16.28;16.463;16.646;16.83;17.015;17.201;17.388;17.576;17.763;17.948
China;395.185;417.831;462.751;481.223;509.859;NaN;544.113;558.82;570.765;580.887;589.956;598.574;607.168;615.992;625.156;634.65;644.45;654.625;665.427;677.333;690.932;706.591;724.49;744.366;765.571;787.191;808.511;829.368;849.788;869.475;888.133;905.58;921.688;936.555;950.537;964.155;977.837;991.554;1005.329;1019.698;1035.329;1052.622;1071.835;1092.647;1114.162;1135.128;1154.606;1172.328;1188.45;1202.983;1216.067;1227.841;1238.235;1247.259;1255.263;1262.714;1269.975;1277.189;1284.35;1291.485;1298.573;1305.601;1312.601;1319.625;1326.691;1333.807;1340.969;1348.174;1355.387;1362.514;1369.436;1376.049
