price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime,changes,searched tariffClass
"64,90",Super Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 20min,00:07,09:27,3,2
"72,90",Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 20min,00:07,09:27,3,2
"172,20",Flexpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 20min,00:07,09:27,3,2
"197,40",Flexpreis Plus,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 20min,00:07,09:27,3,2
"64,90",Super Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 18min,00:07,10:25,2,2
"72,90",Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 18min,00:07,10:25,2,2
"172,20",Flexpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 18min,00:07,10:25,2,2
"197,40",Flexpreis Plus,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 18min,00:07,10:25,2,2
"98,90",Super Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 39min,04:50,11:29,1,2
"106,90",Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 39min,04:50,11:29,1,2
"172,20",Flexpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 39min,04:50,11:29,1,2
"197,40",Flexpreis Plus,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 39min,04:50,11:29,1,2
"98,90",Super Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 25min,05:04,11:29,2,2
"106,90",Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 25min,05:04,11:29,2,2
"172,20",Flexpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 25min,05:04,11:29,2,2
"197,40",Flexpreis Plus,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 25min,05:04,11:29,2,2
"143,90",Super Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 40min,06:11,11:51,1,2
"153,90",Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 40min,06:11,11:51,1,2
"172,20",Flexpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 40min,06:11,11:51,1,2
"197,40",Flexpreis Plus,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 40min,06:11,11:51,1,2
"128,90",Super Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 48min,06:41,13:29,1,2
"138,90",Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 48min,06:41,13:29,1,2
"172,20",Flexpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 48min,06:41,13:29,1,2
"197,40",Flexpreis Plus,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 48min,06:41,13:29,1,2
"128,90",Super Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,07:08,13:29,2,2
"138,90",Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,07:08,13:29,2,2
"172,20",Flexpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,07:08,13:29,2,2
"197,40",Flexpreis Plus,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,07:08,13:29,2,2
"108,90",Super Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:08,13:55,1,2
"118,90",Sparpreis,E,0,"Fr.,25.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:08,13:55,1,2
